message	name	f0_
Your new task is to kill %USERNAME%5 Black Dragons.	Duradel	1
Your new task is to kill 3 Cerberus.<br>Good luck!	Duradel	1
Excellent, you're doing great. Your new task is to kill<br>144 Aberrant Spectres.	Nieve	1
You are to bring balance to 48 Red dragon<br>in the Forthos dungeon	Konar quo Maten	1
Your new task is to kill 162 Minions of Scabaras.	Steve	1
Excellent, you're doing great. Your new task is to kill<br>21 Wolves.	Spria	1
Your new task is to kill 68 Smoke Devils.<br>Good luck!	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>137 Cave Horrors.	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>144 Cave Horrors.	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>115 Vampyres.	Steve	1
You are to bring balance to 9 Commander Zilyana<br>in the God War Dungeon	Konar quo Maten	1
Your new task is to kill 47 Waterfiends.<br>Good luck!	Nieve	1
Great, you're doing great. Your new task is to kill<br>146 Aviansies	Nieve	1
You are to bring balance to 136 Drake<br>in the Karuulm Slayer Dungeon	Konar quo Maten	1
Excellent, you're doing great. Your new task is to kill<br>83 Elves.	Vannaka	1
Excellent, you're doing great. Your new task is to kill<br>75 Fire Giants.	Krystilia	1
Your new task is to kill 205 Vampyres.	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>115 Jellies.	Krystilia	1
Excellent, you're doing great. Your new task is to kill<br>149 Minions of Scabaras.	Steve	1
Your new task is to kill 49 Bloodveld.<br>Good luck!	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>115 Mogres.	Vannaka	1
Excellent, you're doing great. Your new task is to kill<br>90 Abyssal Demons.	Krystilia	1
You are to bring balance to 103 Nechryael<br>in the Slayer Tower	Konar quo Maten	1
Excellent, you're doing great. Your new task is to kill<br>157 Aviansies.	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>164 Minions of Scabaras.	Steve	1
You are to bring balance to 112 Black demon<br>in the Taverly Dungeon	Konar quo Maten	1
Your new task is to kill 170 Aviansies.	Chaeldar	1
Your new task is to kill 45 Infernal Mages.<br>Good luck!	Vannaka	1
Great, you're doing great. Your new task is to kill<br>153 TzHaar-Kets	Nieve	1
Your new task is to kill 41 Dagannoth.<br>Good luck!	Vannaka	1
Great, you're doing great. Your new task is to kill<br>49 Dagannoth Rexs	Mazchna	1
You are to bring balance to 94 Iron dragon<br>in the Brimhaven Dungeon	Konar quo Maten	1
You are to bring balance to 92 Greater demon<br>in the Karuulm Slayer Dungeon	Konar quo Maten	1
Your new task is to kill 215 Dust Devils.	Vannaka	1
Great, you're doing great. Your new task is to kill<br>84 Green dragons	Krystilia	1
Great, you're doing great. Your new task is to kill<br>94 Green dragons	Krystilia	1
Your new task is to kill 50 Gargoyles.<br>Good luck!	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>149 Ankou.	Steve	1
Excellent, you're doing great. Your new task is to kill 1<br>TzKal-Zuk.	Chaeldar	1
Great, you're doing great. Your new task is to kill<br>89 Lizardmans	Chaeldar	1
Excellent, you're doing great. Your new task is to kill<br>49 Bats.	Spria	1
Your new task is to kill 70 Smoke Devils.<br>Good luck!	Nieve	1
Great, you're doing great. Your new task is to kill<br>53 Aberrant spectres	Trainer Nacklepen	1
Excellent, you're doing great. Your new task is to kill<br>167 Abyssal Demons.	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>139 Jellies.	Krystilia	1
You are to bring balance to 166 Jelly<br>in the Fremennik Slayer Dungeon	Konar quo Maten	1
Great, you're doing great. Your new task is to kill<br>139 Smoke devils	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>122 Spiritual Creatures.	Chaeldar	1
You are to bring balance to 70 Lizardman shaman<br>in the Lizardmen Canyon	Konar quo Maten	1
Your new task is to kill 73 Aviansies.<br>Good luck!	Nieve	1
Your new task is to kill 39 Waterfiends.<br>Good luck!	Nieve	1
Your new task is to kill 5 General Graardor.<br>Good luck!	Duradel	1
Great, you're doing great. Your new task is to kill<br>118 Nechryaels	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>193 Suqahs.	Steve	1
Excellent, you're doing great. Your new task is to kill<br>172 Basilisks.	Steve	1
Excellent, you're doing great. Your new task is to kill<br>127 Kurask.	Chaeldar	1
Your new task is to kill 157 Minions of Scabaras.	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>112 Turoth.	Vannaka	1
Excellent, you're doing great. Your new task is to kill<br>230 Cave Horrors.	Nieve	1
Your new task is to kill 241 Nechryael.	Vannaka	1
Your new task is to kill 35 The King Black Dragon.<br>Good luck!	Duradel	1
Excellent, you're doing great. Your new task is to kill<br>100 Green Dragons.	Krystilia	1
Excellent, you're doing great. Your new task is to kill<br>99 Bloodveld.	Krystilia	1
Your new task is to kill 19 Catablepon.<br>Good luck!	Vannaka	1
Excellent, you're doing great. Your new task is to kill<br>136 Brine Rats.	Nieve	1
You are to bring balance to 137 Aberrant spectre<br>in the Stronghold Slayer Cave	Konar quo Maten	1
Your new task is to kill 13 Zombies.<br>Good luck!	Krystilia	1
Excellent, you're doing great. Your new task is to kill<br>156 Gargoyles.	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>61 Elves.	Vannaka	1
Excellent, you're doing great. Your new task is to kill<br>136 Jellies.	Chaeldar	1
Excellent, you're doing great. Your new task is to kill<br>217 Nechryael.	Krystilia	1
Great, you're doing great. Your new task is to kill<br>162 TzHaar-Kets	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>110 Aberrant Spectres.	Chaeldar	1
Excellent, you're doing great. Your new task is to kill<br>144 Turoth.	Chaeldar	1
You are to bring balance to 166 Jelly<br>in the Catacombs of Kourend	Konar quo Maten	1
You are to bring balance to 57 Red dragon<br>in the	Konar quo Maten	1
Your new task is to kill 68 Moss Giants.<br>Good luck!	Krystilia	1
Excellent, you're doing great. Your new task is to kill<br>88 Zombies.	Krystilia	1
Your new task is to kill 163 Minions of Scabaras.	Nieve	1
Your new task is to kill 219 Nechryael.	Vannaka	1
Great, you're doing great. Your new task is to kill<br>73 Ankous	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>147 Ankou.	Nieve	1
Your new task is to kill 51 Kurask.<br>Good luck!	Nieve	1
Your new task is to kill 65 Black Demons.<br>Good luck!	Nieve	1
Great, you're doing great. Your new task is to kill<br>159 Hellhounds	Nieve	1
Your new task is to kill 13 Cave Bugs.<br>Good luck!	Turael	1
Your new task is to kill 77 Dust Devils.<br>Good luck!	Nieve	1
Your new task is to kill 53 Bloodveld.<br>Good luck!	Nieve	1
Great, you're doing great. Your new task is to kill<br>171 Fire giants	Nieve	1
Your new task is to kill 77 Ankou.<br>Good luck!	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>58 Rune Dragons.	Steve	1
Your new task is to kill 250 Basilisks.	Vannaka	1
Your new task is to kill 52 Kalphite.<br>Good luck!	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>224 Greater Demons.	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>84 Dagannoth.	Vannaka	1
Your new task is to kill %USERNAME%%USERNAME% Cave Bugs.	Turael	1
Great, you're doing great. Your new task is to kill<br>56 Gargoyles	Trainer Nacklepen	1
Excellent, you're doing great. Your new task is to kill<br>114 Zombies.	Krystilia	1
Your new task is to kill 11 Spiders.<br>Good luck!	Krystilia	1
Your new task is to kill 46 Ice Giants.<br>Good luck!	Vannaka	1
Great, you're doing great. Your new task is to kill<br>61 Jellys	Trainer Nacklepen	1
Your new task is to kill 21 Cave Slimes.<br>Good luck!	Vannaka	1
Excellent, you're doing great. Your new task is to kill<br>166 Basilisks.	Steve	1
Excellent, you're doing great. Your new task is to kill<br>246 Spiritual Creatures.	Duradel	1
Excellent, you're doing great. Your new task is to kill<br>87 Elves.	Vannaka	1
Your new task is to kill 44 Dark Beasts.<br>Good luck!	Nieve	1
Your new task is to kill 51 Rogues.<br>Good luck!	Krystilia	1
Excellent, you're doing great. Your new task is to kill<br>82 Bloodveld.	Vannaka	1
Your new task is to kill 73 Fire Giants.<br>Good luck!	Nieve	1
Great, you're doing great. Your new task is to kill<br>22 Long-tailed Wyverns	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>35 Killerwatts.	Mazchna	1
Great, you're doing great. Your new task is to kill<br>33 Cave crawlers	Turael	1
Excellent, you're doing great. Your new task is to kill<br>135 Kurask.	Chaeldar	1
You are to bring balance to 38 Sulphur Lizard<br>in the Karuulm Slayer Dungeon	Konar quo Maten	1
Excellent, you're doing great. Your new task is to kill<br>146 Spiritual Creatures.	Krystilia	1
You are to bring balance to 32 Giant Mole<br>in the Falador Mole's Lair	Konar quo Maten	1
Great, you're doing great. Your new task is to kill<br>65 Moss giants	Vannaka	1
Excellent, you're doing great. Your new task is to kill<br>90 Bloodveld.	Vannaka	1
Excellent, you're doing great. Your new task is to kill<br>153 Cave Horrors.	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>234 Nechryael.	Krystilia	1
You are to bring balance to 111 Greater demon<br>in the Catacombs of Kourend	Konar quo Maten	1
Your new task is to kill 239 Basilisks.	Vannaka	1
Your new task is to kill V%USERNAME%atis. How many would<br>you like to slay?	Duradel	1
